,ts,y,origin
0,1970-01-01,0.0,RW
1,1970-01-02,0.3861960085211673,RW
2,1970-01-03,0.815271075216542,RW
3,1970-01-04,0.49890066269368794,RW
4,1970-01-05,1.3898536521186409,RW
5,1970-01-06,1.2662324083325496,RW
6,1970-01-07,2.8251569843578723,RW
7,1970-01-08,3.9519939963691293,RW
8,1970-01-09,2.4279319437978195,RW
9,1970-01-10,2.9868068566478234,RW
10,1970-01-11,2.3616664733881807,RW
11,1970-01-12,0.4453824337616801,RW
12,1970-01-13,1.5381060221677576,RW
13,1970-01-14,1.858974414088018,RW
14,1970-01-15,2.516557250419739,RW
15,1970-01-16,1.0211970071425094,RW
16,1970-01-17,1.0818158007847472,RW
17,1970-01-18,0.20935042405998527,RW
18,1970-01-19,-1.5579946153334243,RW
19,1970-01-20,-0.18060615167666993,RW
20,1970-01-21,0.8739692446887593,RW
21,1970-01-22,-0.017893069806374284,RW
22,1970-01-23,0.7240402429879826,RW
23,1970-01-24,2.473138883757428,RW
24,1970-01-25,3.616372388744666,RW
25,1970-01-26,3.4284945805944775,RW
26,1970-01-27,3.1138347720688424,RW
27,1970-01-28,3.44982841011757,RW
28,1970-01-29,3.46114938824352,RW
29,1970-01-30,3.8780019039698987,RW
30,1970-01-31,3.472377694008067,RW
31,1970-02-01,4.234848101776044,RW
32,1970-02-02,4.931231295977052,RW
33,1970-02-03,5.3557187877892165,RW
34,1970-02-04,4.2929380260015835,RW
35,1970-02-05,4.605542970669826,RW
36,1970-02-06,4.3717694565650875,RW
37,1970-02-07,4.2786405545326165,RW
38,1970-02-08,4.3453028511597385,RW
39,1970-02-09,4.547156301858008,RW
40,1970-02-10,4.388543133731385,RW
41,1970-02-11,5.403924483011221,RW
42,1970-02-12,5.004202374938849,RW
43,1970-02-13,2.994737479267003,RW
44,1970-02-14,3.99530285834515,RW
45,1970-02-15,3.7956490078359404,RW
46,1970-02-16,4.513796554114318,RW
47,1970-02-17,5.346967803549375,RW
48,1970-02-18,3.446776691890274,RW
49,1970-02-19,4.999184376940673,RW
50,1970-02-20,3.8159053536434904,RW
51,1970-02-21,3.3358094494442883,RW
52,1970-02-22,3.4057183023223527,RW
53,1970-02-23,4.058025919591341,RW
54,1970-02-24,4.0421016624297605,RW
55,1970-02-25,4.059517218178545,RW
56,1970-02-26,3.487155605508556,RW
57,1970-02-27,4.961776852309499,RW
58,1970-02-28,5.292118553220174,RW
59,1970-03-01,4.1263055466481,RW
60,1970-03-02,4.3296488167055776,RW
61,1970-03-03,5.05063211767935,RW
62,1970-03-04,5.287988103633826,RW
63,1970-03-05,4.736479693375929,RW
64,1970-03-06,3.824652238455568,RW
65,1970-03-07,3.151553920373109,RW
66,1970-03-08,2.442757034480949,RW
67,1970-03-09,2.417806532602666,RW
68,1970-03-10,2.4482289958377623,RW
69,1970-03-11,3.2387947508409867,RW
70,1970-03-12,4.088619774588757,RW
71,1970-03-13,3.0986396540460137,RW
72,1970-03-14,3.0077385946628987,RW
73,1970-03-15,4.167976651263956,RW
74,1970-03-16,5.02834037167913,RW
75,1970-03-17,5.69112226719987,RW
76,1970-03-18,3.8341380661252535,RW
77,1970-03-19,5.675522866169793,RW
78,1970-03-20,3.9780288571418354,RW
79,1970-03-21,4.072889816553705,RW
80,1970-03-22,5.037820183960261,RW
81,1970-03-23,4.813071859613335,RW
82,1970-03-24,4.033263824402844,RW
83,1970-03-25,4.5342564368705265,RW
84,1970-03-26,3.3300289521155264,RW
85,1970-03-27,3.440254239280189,RW
86,1970-03-28,1.772010670592118,RW
87,1970-03-29,1.07195379282651,RW
88,1970-03-30,-0.24188580962038309,RW
89,1970-03-31,-2.1940957532495373,RW
90,1970-04-01,-3.8236249203243964,RW
91,1970-04-02,-4.081083044398066,RW
92,1970-04-03,-5.126457458462625,RW
93,1970-04-04,-5.535076101316191,RW
94,1970-04-05,-6.077071874878233,RW
95,1970-04-06,-6.359628821207218,RW
96,1970-04-07,-6.208568177135193,RW
97,1970-04-08,-6.7500003295384685,RW
98,1970-04-09,-7.872914616971174,RW
99,1970-04-10,-8.467568721138047,RW
100,1970-04-11,-6.275600225357299,RW
101,1970-04-12,-6.806147333324876,RW
